100	45
1	7	1
2	6	1
3	10	1
4	6	5
5	7	4
6	4	5
7	4	5
8	9	3
9	6	5
10	6	5
11	8	3
12	8	4
13	4	3
14	10	5
15	10	5
16	10	3
17	1	3
18	9	4
19	2	2
20	1	4
21	10	2
22	10	1
23	8	5
24	2	1
25	3	3
26	8	1
27	10	1
28	1	5
29	3	4
30	8	1
31	7	5
32	5	4
33	9	5
34	9	3
35	2	2
36	1	3
37	5	1
38	8	1
39	10	2
40	10	1
41	10	4
42	10	3
43	7	1
44	6	2
45	9	4
46	9	1
47	6	1
48	2	5
49	8	3
50	3	3
51	3	4
52	3	4
53	2	3
54	9	3
55	7	4
56	6	5
57	10	4
58	5	3
59	2	3
60	1	5
61	8	4
62	1	3
63	7	5
64	1	1
65	2	5
66	9	3
67	4	3
68	5	5
69	9	1
70	6	2
71	1	3
72	3	3
73	7	2
74	1	3
75	9	3
76	6	4
77	10	5
78	5	1
79	1	5
80	5	3
81	4	3
82	2	2
83	5	3
84	2	1
85	10	1
86	2	2
87	4	4
88	1	2
89	1	2
90	2	4
91	10	4
92	7	2
93	10	3
94	10	2
95	8	5
96	2	5
97	5	1
98	4	1
99	3	5
100	3	5
